nome_identificador,nome_da_classe,score_relacao,nome_arquivo,media_top3_atributo
 second,estimator,-1,,-1
smallest,estimator,0.2619835,,0.7913682262102762
diff,estimator,0.25721556,,0.6664726138114929
index ,estimator,-1,,-1
 first,hmh,-1,,-1
index,hmh,-1,,0.7835067311922709
 first,cardinality,-1,,-1
index,cardinality,0.3674847,,0.7835067311922709
 first,estimator,-1,,-1
index,estimator,0.39763227,,0.7835067311922709
 second,hmh,-1,,-1
index,hmh,-1,,0.7835067311922709
 second,cardinality,-1,,-1
index,cardinality,0.3674847,,0.7835067311922709
 second,estimator,-1,,-1
index,estimator,0.39763227,,0.7835067311922709
 m ,hmh,-1,,-1
 m ,cardinality,-1,,-1
 m ,estimator,-1,,-1
 linear,hmh,-1,,-1
counting,hmh,-1,,0.7369368473688761
estimate ,hmh,-1,,-1
 linear,cardinality,-1,,-1
counting,cardinality,0.33661222,,0.7369368473688761
estimate ,cardinality,-1,,-1
 linear,estimator,-1,,-1
counting,estimator,0.29230878,,0.7369368473688761
estimate ,estimator,-1,,-1
 version ,hyper,-1,,-1
 version ,min,-1,,-1
 version ,hash,-1,,-1
 registers,hyper,-1,,-1
 registers,min,-1,,-1
 registers,hash,-1,,-1
 p,hyper,-1,,-1
 p,min,-1,,-1
 p,hash,-1,,-1
 num,hyper,-1,,-1
zero,hyper,0.35947067,,0.7358408768971761
search,hyper,0.32739285,,0.8236011068026224
bits,hyper,0.23771146,,0.7257639368375143
 num,min,-1,,-1
zero,min,0.2675555,,0.7358408768971761
search,min,0.21891977,,0.8236011068026224
bits,min,0.2607412,,0.7257639368375143
 num,hash,-1,,-1
zero,hash,0.3137629,,0.7358408768971761
search,hash,0.36261067,,0.8236011068026224
bits,hash,0.43091556,,0.7257639368375143
 r,hyper,-1,,-1
 r,min,-1,,-1
 r,hash,-1,,-1
 hash ,hyper,-1,,-1
 hash ,min,-1,,-1
 hash ,hash,-1,,-1
 hll,hyper,-1,,-1
hash ,hyper,-1,,-1
 hll,min,-1,,-1
hash ,min,-1,,-1
 hll,hash,-1,,-1
hash ,hash,-1,,-1
 register,hyper,-1,,-1
index ,hyper,-1,,-1
 register,min,-1,,-1
index ,min,-1,,-1
 register,hash,-1,,-1
index ,hash,-1,,-1
 zero,hyper,-1,,-1
search,hyper,0.32739285,,0.8236011068026224
space ,hyper,-1,,-1
 zero,min,-1,,-1
search,min,0.21891977,,0.8236011068026224
space ,min,-1,,-1
 zero,hash,-1,,-1
search,hash,0.36261067,,0.8236011068026224
space ,hash,-1,,-1
 leftmost,hyper,-1,,-1
one,hyper,0.28554824,,0.7406286199887594
position ,hyper,-1,,-1
 leftmost,min,-1,,-1
one,min,0.28274927,,0.7406286199887594
position ,min,-1,,-1
 leftmost,hash,-1,,-1
one,hash,0.3171256,,0.7406286199887594
position ,hash,-1,,-1
 hmh,hyper,-1,,-1
hash ,hyper,-1,,-1
 hmh,min,-1,,-1
hash ,min,-1,,-1
 hmh,hash,-1,,-1
hash ,hash,-1,,-1
 min,hyper,-1,,-1
hash,hyper,0.18279795,,0.775370458761851
bits ,hyper,-1,,-1
 min,min,-1,,-1
hash,min,0.19415566,,0.775370458761851
bits ,min,-1,,-1
 min,hash,-1,,-1
hash,hash,1.0,,0.775370458761851
bits ,hash,-1,,-1
 incoming,hyper,-1,,-1
register ,hyper,-1,,-1
 incoming,min,-1,,-1
register ,min,-1,,-1
 incoming,hash,-1,,-1
register ,hash,-1,,-1
 that ,hyper,-1,,-1
 that ,min,-1,,-1
 that ,hash,-1,,-1
 result ,hyper,-1,,-1
 result ,min,-1,,-1
 result ,hash,-1,,-1
 instance ,hyper,-1,,-1
 instance ,min,-1,,-1
 instance ,hash,-1,,-1
 instance ,combiner,-1,,-1
 first,hyper,-1,,-1
sketch ,hyper,-1,,-1
 first,min,-1,,-1
sketch ,min,-1,,-1
 first,hash,-1,,-1
sketch ,hash,-1,,-1
 first,combiner,-1,,-1
sketch ,combiner,-1,,-1
 num,hyper,-1,,-1
registers ,hyper,-1,,-1
 num,min,-1,,-1
registers ,min,-1,,-1
 num,hash,-1,,-1
registers ,hash,-1,,-1
 num,combiner,-1,,-1
registers ,combiner,-1,,-1
 merged,hyper,-1,,-1
sketch ,hyper,-1,,-1
 merged,min,-1,,-1
sketch ,min,-1,,-1
 merged,hash,-1,,-1
sketch ,hash,-1,,-1
 merged,combiner,-1,,-1
sketch ,combiner,-1,,-1
 c ,hyper,-1,,-1
 c ,min,-1,,-1
 c ,hash,-1,,-1
 c ,combiner,-1,,-1
 n ,hyper,-1,,-1
 n ,min,-1,,-1
 n ,hash,-1,,-1
 n ,combiner,-1,,-1
 first,hyper,-1,,-1
sketch ,hyper,-1,,-1
 first,min,-1,,-1
sketch ,min,-1,,-1
 first,hash,-1,,-1
sketch ,hash,-1,,-1
 first,combiner,-1,,-1
sketch ,combiner,-1,,-1
 num,hyper,-1,,-1
registers ,hyper,-1,,-1
 num,min,-1,,-1
registers ,min,-1,,-1
 num,hash,-1,,-1
registers ,hash,-1,,-1
 num,combiner,-1,,-1
registers ,combiner,-1,,-1
 item,hyper,-1,,-1
in,hyper,0.26276734,,0.7485605676968893
intersection ,hyper,-1,,-1
 item,min,-1,,-1
in,min,0.24776308,,0.7485605676968893
intersection ,min,-1,,-1
 item,hash,-1,,-1
in,hash,0.25106388,,0.7485605676968893
intersection ,hash,-1,,-1
 item,combiner,-1,,-1
in,combiner,0.3132326,,0.7485605676968893
intersection ,combiner,-1,,-1
 cardinalities ,hyper,-1,,-1
 cardinalities ,min,-1,,-1
 cardinalities ,hash,-1,,-1
 cardinalities ,combiner,-1,,-1
 i ,hyper,-1,,-1
 i ,min,-1,,-1
 i ,hash,-1,,-1
 i ,combiner,-1,,-1
 ,hyper,-1,,-1
2q ,hyper,-1,,-1
