nome_projeto,nome_identificador,nome_classe,posicao_identificador,score
projeto, actualEstimate ,TestHmhCardinalityEstimator,Variavel,4.0
projeto, sk ,TestHyperMinHash,Variavel,1.0
projeto, maxUniqueElements ,TestHyperMinHash,Variavel,4.0
projeto, minTestCardinality ,TestHyperMinHash,Variavel,1.67
projeto, pctErr ,TestHyperMinHash,Variavel,0.5
projeto, combiner ,TestHyperMinHash,Variavel,1.0
projeto, elementsPerSketch ,TestHyperMinHash,Variavel,3.67
projeto, pctErr ,TestHyperMinHash,Variavel,0.5
projeto, overlapSlices ,TestHyperMinHash,Variavel,6.5
projeto, numElementsLeftSketch ,TestHyperMinHash,Variavel,0.25
projeto, pctError ,TestHyperMinHash,Variavel,0.5
projeto, smallSetSize ,TestHyperMinHash,Variavel,3.33
projeto, bigSetSize ,TestHyperMinHash,Variavel,2.67
projeto, maxPctErr ,TestHyperMinHash,Variavel,1.67
projeto, smallSetSize ,TestHyperMinHash,Variavel,3.33
projeto, bigSetSize ,TestHyperMinHash,Variavel,2.67
projeto, maxPctErr ,TestHyperMinHash,Variavel,1.67
projeto, initialIntersectionSize ,TestHyperMinHash,Variavel,5.33
projeto, initialSketchSize ,TestHyperMinHash,Variavel,4.67
projeto, numIter ,TestHyperMinHash,Variavel,1.0
projeto, maxPctErr ,TestHyperMinHash,For,1.67
projeto, maxPctErr ,TestHyperMinHash,For,1.67
projeto, serde ,TestHyperMinHashSerDe,Variavel,1.0
projeto, iterations ,TestHyperMinHashSerDe,Variavel,1.0
projeto, p ,TestHyperMinHashSerDe,Variavel,0.0
projeto, r ,TestHyperMinHashSerDe,Variavel,2.0
projeto, hyperMinHash ,TestHyperMinHashSerDe,Variavel,1.33
projeto, serde ,TestHyperMinHashSerDe,Variavel,1.0
projeto, iterations ,TestHyperMinHashSerDe,Variavel,1.0
projeto, p ,TestHyperMinHashSerDe,Variavel,0.0
projeto, r ,TestHyperMinHashSerDe,Variavel,2.0
projeto, hmh ,TestHyperMinHashSerDe,Variavel,1.0
projeto, numElements ,TestHyperMinHashSerDe,Variavel,0.5
projeto, serde ,TestHyperMinHashSerDe,Variavel,1.0
projeto, p ,TestHyperMinHashSerDe,Variavel,0.0
projeto, r ,TestHyperMinHashSerDe,Variavel,2.0
projeto, hmh ,TestHyperMinHashSerDe,Variavel,1.0
projeto, numElements ,TestHyperMinHashSerDe,Variavel,0.5
projeto, bytes ,TestHyperMinHashSerDe,Variavel,3.0
projeto, iterations ,TestPackers,Variavel,1.0
projeto, rng ,TestPackers,Variavel,1.0
projeto, leftmostOnePos ,TestPackers,Variavel,0.33
projeto, r ,TestPackers,Variavel,2.0
projeto, minHashBits ,TestPackers,Variavel,2.0
projeto, packedRegister ,TestPackers,Variavel,4.0
projeto, iterations ,TestPackers,Variavel,1.0
projeto, rng ,TestPackers,Variavel,1.0
projeto, leftmostOnePos ,TestPackers,Variavel,0.33
projeto, r ,TestPackers,Variavel,2.0
projeto, minHashBits ,TestPackers,Variavel,2.0
projeto, packedRegister ,TestPackers,Variavel,4.0
projeto, leftmostOnePos ,TestPackers,For,0.33
projeto, r ,TestPackers,For,2.0
projeto, minHashBits ,TestPackers,For,2.0
projeto, packedRegister ,TestPackers,For,4.0
projeto, leftmostOnePos ,TestPackers,For,0.33
projeto, r ,TestPackers,For,2.0
projeto, minHashBits ,TestPackers,For,2.0
projeto, packedRegister ,TestPackers,For,4.0
projeto,nome,nomeClasse,posicao,1.0
projeto, P ,BetaMinHash,Atributo,0.0
projeto, NUM_REGISTERS ,BetaMinHash,Atributo,0.5
projeto, Q ,BetaMinHash,Atributo,2.0
projeto, R ,BetaMinHash,Atributo,2.0
projeto, HASH_SEED ,BetaMinHash,Atributo,2.0
projeto, VERSION ,BetaMinHash,Atributo,6.0
projeto, registers,BetaMinHash,Atributo,8.0
projeto, registersCopy ,BetaMinHash,Variavel,4.5
projeto, _128BitHash ,BetaMinHash,Variavel,0.67
projeto, buf ,BetaMinHash,Variavel,1.0
projeto, that ,BetaMinHash,Variavel,3.0
projeto, hashLeftHalf ,BetaMinHash,Variavel,2.67
projeto, registerIndex ,BetaMinHash,Variavel,4.5
projeto, leftmostOneBitPosition ,BetaMinHash,Variavel,0.25
projeto, rBits ,BetaMinHash,Variavel,2.5
projeto, packedRegister ,BetaMinHash,Variavel,4.0
projeto, exponent ,BetaMinHash,Variavel,6.0
projeto, packedRegister ,BetaMinHash,Variavel,4.0
projeto, sum,BetaMinHashCardinalityGetter,Atributo,2.0
projeto, zeros,BetaMinHashCardinalityGetter,Atributo,6.0
projeto, saz ,BetaMinHashCardinalityGetter,Variavel,1.0
projeto, sum ,BetaMinHashCardinalityGetter,Variavel,2.0
projeto, zeros ,BetaMinHashCardinalityGetter,Variavel,6.0
projeto, mHat ,BetaMinHashCardinalityGetter,Variavel,1.0
projeto, alpha ,BetaMinHashCardinalityGetter,Variavel,2.0
projeto, sum ,BetaMinHashCardinalityGetter,Variavel,2.0
projeto, leadingZeros ,BetaMinHashCardinalityGetter,Variavel,4.5
projeto, log ,BetaMinHashCardinalityGetter,Variavel,3.0
projeto, leadingZeros ,BetaMinHashCardinalityGetter,For,4.5
projeto, sum,SumAndZeros,Atributo,2.0
projeto, zeros,SumAndZeros,Atributo,6.0
